Date,Sales
2022-07-10,502223.05
2022-07-11,1053484.19
2022-07-12,1057460.79
2022-07-13,1114226.28
2022-07-14,1162901.93
2022-07-15,1255755.84
2022-07-16,745511.58
2022-07-17,565881.90
2022-07-18,1064178.25
2022-07-19,1068930.40
2022-07-20,1115355.15
2022-07-21,1248348.31
2022-07-22,1183697.44
2022-07-23,714359.69
2022-07-24,550496.29
2022-07-25,1117688.64
2022-07-26,1122942.17
2022-07-27,1204719.59
2022-07-28,1130918.16
2022-07-29,1071351.48
2022-07-30,783752.64
2022-07-31,618595.74
2022-08-01,1054535.11
2022-08-02,1007624.48
2022-08-03,1189600.48
2022-08-04,1064105.42
2022-08-05,1037748.29
2022-08-06,677724.69
2022-08-07,487652.19
2022-08-08,993152.86
2022-08-09,1066919.54
2022-08-10,1020097.29
2022-08-11,1066174.38
2022-08-12,1028068.10
2022-08-13,660058.92
2022-08-14,466314.91
2022-08-15,1055839.52
2022-08-16,970723.42
2022-08-17,1059652.89
2022-08-18,1061362.38
2022-08-19,1038384.49
2022-08-20,667156.76
2022-08-21,515159.05
2022-08-22,1015417.67
2022-08-23,915698.37
2022-08-24,965226.22
2022-08-25,1115693.30
2022-08-26,1077782.00
2022-08-27,654470.45
2022-08-28,458588.08
2022-08-29,961557.99
2022-08-30,988529.82
2022-08-31,1029658.01
2022-09-01,1144764.26
2022-09-02,943594.69
2022-09-03,659848.89
2022-09-04,447959.40
2022-09-05,987424.06
2022-09-06,958974.83
2022-09-07,1022458.49
2022-09-08,1075928.14
2022-09-09,963195.83
2022-09-10,633176.94
2022-09-11,474599.70
2022-09-12,979852.96
2022-09-13,995925.19
2022-09-14,1058645.31
2022-09-15,1092966.05
2022-09-16,992919.59
2022-09-17,658693.24
2022-09-18,476102.97
2022-09-19,990913.31
2022-09-20,963002.49
2022-09-21,1130855.42
2022-09-22,385572.81
2022-09-23,1092234.90
2022-09-24,636004.56
2022-09-25,477394.46
2022-09-26,966761.28
2022-09-27,1014665.41
2022-09-28,1079479.83
2022-09-29,1022934.32
2022-09-30,1023657.99
2022-10-01,649166.22
2022-10-02,453172.71
2022-10-03,437134.67
2022-10-04,1042091.01
2022-10-05,1062915.01
2022-10-06,1057512.57
2022-10-07,992992.65
2022-10-08,646420.93
2022-10-09,465022.34
2022-10-10,949840.80
2022-10-11,1000400.53
2022-10-12,1018478.97
2022-10-13,1106173.25
